"publication_date","headline"
"July 15, 2010","Microsoft Awards Top Performing Partners at Microsoft Worldwide"
"October 15, 1998","Microsoft And Justice: Suits, Players, Charges"
"February 16, 1995","Microsoft: A bully or victim of its own success?"
"June 28, 1999","Point, Counterpoint in the Microsoft Trial"
"November 5, 1998","With Microsoft On Trial, Friends Can Be Enemies"
"April 29, 2000","U.S. VS. MICROSOFT;"
"June 30, 2008","Timeline: Microsoft's rise to power"
"August 21, 2015","Windows 10: Microsoft planning to launch new hardware in October"
"August 21, 2015","Windows 10: Microsoft planning to launch new hardware in October"
"August 14, 2006","Commentary: How level is the playing field?"
