date	title	trend
2017-12-07	$64 million worth of bitcoin stolen in hack says exchange	1
2017-11-26	'12000 kuwaitis using bitcoin currency amounting $1 billion'	1
2017-11-28	'absolutely bananas' bitcoin bubble fears as cryptocurrency soars towards record $10000 with half a million new investors a day;  price of digital currency has soared tenfold since start of the year	1
2017-08-04	'almost like free money': bitcoin clones itself to mint $9.5b	1
2017-09-20	'bitcoin jesus' makes this prophecy on the digital currency	0
2017-12-20	'bitcoin cash' price soars as bitcoin cryptocurrency takes a hit	0
2018-01-16	'bitcoin' among most searched keywords	0
2018-02-14	'blockchain will become norm in 2019' '	1
2018-02-27	'crypto-noobs' feel wild swings of digital currency	1
2017-12-01	'fast and furious': bitcoin plunges 20% in 90 minutes;  cryptocurrency	1
2018-03-03	'fool's paradise': governor urges crackdown on cryptocurrencies	1
2018-02-12	'forget bitcoin invest in bitcoin infrastructure' savvy investors say	1
2018-02-05	'govts can't ban peer to peer in bitcoins'	0
2017-08-10	'most will go to zero': inside the bitcoin-fuelled bubble	1
2017-09-14	'rbi examining feasibility of govt-backed cryptocurrency'	1
2017-11-08	'scared and vulnerable': richmond hill woman victim of bitcoin fraud	1
2017-08-11	'this is how money should be': digital asset pioneer erik voorhees	1
2017-03-02	'virtual currency can never oust hard one'	1
2017-09-14	'will that be cash or cryptocurrency?'-the marijuana business on blockchains	1
2017-11-12	'£80000 or 18 bitcoin: i'll accept either for my three-bedroom edwardian house'	0
2017-06-01	01 /* the cryptocurrency rophet; vitalik buterin is only 23 but he might just hold the key to unlocking internet 3.0	1
2017-11-16	10 facts you probably don't know about bitcoin	1
2017-06-16	18 biz units attacked by wannacry	1
2017-06-16	18 biz units in state attacked by wannacry	1
2018-03-03	2 in custody after 'big bitcoin heist' in iceland	1
2017-12-20	2017: the year the bitcoin craze reached wall street	0
2018-02-11	44% of world's bitcoin transactions involve illegal activities: australian study	0
2017-06-11	5 things to consider before buying today’s hot investment	0
2017-10-13	5 of 10 people dont invest in bitcoin	1
2018-02-27	50 cent denies reports he is a bitcoin millionaire;  the rapper still ironing out a bankruptcy case said he'd promoted the false reports because they were 'favourable to my image'	1
2018-01-16	80% of all bitcoin that will ever exist have already entered circulation	0
2017-01-06	@hd new opinion head s/c;bitcoin; some key questions	0
2017-01-04	@hd2 new briefs head;surging bitcoin breaks through $1000 barrier	1
2017-12-06	a bit like bitcoin iota price news - what is iot's value in gbp and usd and how can you buy the cryptocurrency?;  iota - which stands for internet of things application - is a digital currency similar to bitcoin	1
2017-06-04	a bit of coinage how to get a start in the cryptocurrency game	1
2017-11-28	a bit silly bitcoin surges to a record high as value of virtual currency doubles in two months;  the digital currency surged to £7286 on the luxembourg-based bitstamp exchange before it returned to around £7195	1
2017-08-23	a bit of an investment risk;  yourmoney	1
2017-12-20	a bitcoin hedge fund has a return of 25004 percent (that isn't a typo)	0
2017-12-19	a bitcoin hedge fund’s return: 25004% (that wasn’t a typo)	0
2017-06-06	a blockchain experiment could change russia: leonid bershidsky	0
2017-05-27	a digital shift in land of rising bitcoin	1
2017-09-20	a new digital currency aml bitcoin makes landfall in panama	0
2017-05-17	a primer on bitcoin in light of ransomware attack	1
2017-12-01	a bubble even madder than tulip fever;  its value has shot up to $10000 per unit. but experts fear bitcoin the online currency loved by crooks but now being bought up by normal investors is...	1
2017-11-26	a canny view: the bitcoin bubble	1
2017-11-28	a cryptic square bitcoin nears $10k but payment-firm is torched	1
2018-02-18	a gut-wrenching dive in equities is dose of reality the markets thrive on	0
2017-12-04	a looming bubble? … as the bitcoin hits $10000	1
2017-12-04	a man is offering a welsh council £7.4 million to dig in its tip for his lost bitcoin;  how can they leave $100m in the ground when making cuts to services?	1
2017-03-02	a public or private blockchain? new ethereum project could mean both	1
2017-05-09	a ransom payable in bitcoins is demanded from wipro. is it time to divorce bitcoins from blockchain technology?	1
2018-03-06	a supercharged fundraising technique; virtual currency offerings may hit new peak with telegram coin sale	0
2018-01-05	aar decision to define biz model for bitcoin exchanges	1
2017-11-05	alert over house deal	1
2017-11-25	ancient land on offer for modern cash	1
2017-05-09	ap exclusive: big child webcam sex bust reveals rising abuse	1
2017-07-14	ap explains: dispute could mean financial panic in bitcoin	0
2017-05-03	asx eases as anz spooks investors;  equities	1
2017-05-26	asx shakes off retail woes to post gains;  equities	0
2017-09-13	asx's private blockchain a step closer	0
2018-02-12	abu dhabi financial regulator may create framework for virtual currencies	1
2017-09-17	actually mr dimon money is no more 'real' than bitcoin	1
2017-09-17	africa a guinea pig for the feasibility of digital payment systems	1
2018-01-02	after huge 2017 bitcoin falls to start new year	1
2018-02-01	after turkish player super bowl lii seat bought using cryptocurrency	0
2017-12-23	agencies crack down on bitcoin traders	1
2018-02-19	all eyes on fed meeting and t-bill markets;  while bulls hope for animal spirits to be exorcised bears warn of more swings	1
2017-06-06	all that glitters is bitcoin now	0
2017-09-14	amazing disgrace of our $20 trillion in debt	1
2018-02-17	amid bubble burst many investors still keep the faith	1
2018-01-02	amused by bitcoin's rally? here are five other cryptocurrencies that performed far better;  virtual currencies have captured the imagination of investors worldwide in the last few months especially with the rise of bitcoin with more a 1000% return in the last year. while bitcoin is taking the limelight in the cryptocurrency world there are...	1
2018-03-03	an isa will not escape inheritance tax grab	1
2017-09-07	analyses and comments by br research - regulating digital currencies	0
2018-02-27	anatomy of a bitcoin transaction: buying a used subaru	1
2017-12-07	another day another record for bitcoin	1
2017-12-07	another day another record for bitcoin and now it's over $15000	1
2017-12-07	another day another record for bitcoin crosses $17000 for the first time	1
2017-10-11	another day another record for bitcoin as it smashes past $7000	1
2017-09-17	another experiment with currency? rbi is looking at its own bitcoin	1
2017-05-03	aomori city sees bitcoin as way to attract overseas tourists	1
2018-02-27	apple cofounder steve wozniak reveals he was scammed out of $70k worth of bitcoin	1
2018-02-15	apple gets buffett bounce; bitcoin soars; vanguard goes active	1
2018-02-12	apple boeing soar as market rallies; bitcoin ignores warning	1
2017-05-30	are atms sitting ducks for wannacry-style cyberattack?	1
2017-10-25	are bitcoins and other virtual currencies tax-exempt?	1
2017-09-17	are cryptocurrencies right on the money?	1
2017-12-26	are you investing in bitcoins? get ready for multiple tax implications	1
2017-12-01	as bitcoin surges investors warn of longmont-based teh	1
2017-12-06	as bitcoin nears $12000 value reserve bank warns on it again	1
2017-05-19	as deadline passed wannacry falls short of six figures	1
2017-10-13	asian shares hold firm near 10-year high ahead of us data china congress	1
2017-06-06	ask the sketch guy: should i finally buy some bitcoin?	0
2017-06-05	ask the sketch guy: should i finally buy some bitcoin?;  sketch guy	1
2017-01-11	authorities may bring bitcoin in from cold	0
2017-12-06	bankelele: is bitcoin the next wave or another 'quail' investment?	1
2018-02-11	baroness blockchain... i miss my bra firm but now i ll make money	0
2017-11-16	billionaire bashes use of bitcoins	1
2017-09-19	bis warns on risks of digital currency	0
2017-12-07	bit of a steal bitcoin marketplace nicehash robbed of $70million by hackers as cryptocurrency breaks through the $16000 mark;  the theft comes as bitcoin enjoys a huge surge with investors queuing up purchase the cyber cash	1
2018-02-14	bit of a surge bitcoin ethereum and ripple price soars as european central bank says it won't ban cryptocurrencies;  europe's central bank has no plans to regulate cryptocurrencies like bitcoin - leading to a surge in its value	1
2017-12-06	bit risky? how do you buy bitcoin what are ripple ethereum and iota and is the cryptocurrency safe?;  the cryptocurrency bitcoin continues to break records and attract amateur and professional investors from across the globe	1
2017-12-04	bit unlucky lily allen turned down chance to become a billionaire - and richer than madonna - after refusing 200000 bitcoins to play 2009 gig;  singer said she snubbed request to sing in an online game when she was offered obscure web currency as payment	1
2017-10-23	bit(coin) fishy? wolf of wall street author jordan belfort claims crypto-coin get rich quick schemes are 'biggest scam ever';  'initial coin offerings' that offer people with little tech knowledge the chance to invest in cryptocurrencies are growing in popularity. but potential investors should be very wary	0
2017-10-06	bitcoin as payments soon - drivezy gets $10m in boot to bring bitcoin payments	1
2017-10-13	bitcoin at record high jp morgan boss retreats as currency hits $5300	1
2018-02-27	bitcoin bandit man claiming to be bitcoin's mysterious inventor satoshi nakamoto accused of stealing £3.5bn from his dead business partner;  australian businessman craig wright is being sued by the family of a dead programmer dave kleiman after he claimed in 2016 he was bitcoin guru satoshi nakamoto	1
2018-02-09	bitcoin blaze illegal bitcoin mining factory sparks massive blaze thanks to overheating computers used to create cryptocurrency;  fire destroyed eight flats and flooded 30 more at a residential block in eastern russia	1
2017-12-04	bitcoin crimes treasury crackdown as bitcoin is used by crooks to buy drugs guns and launder illegal profits;  the treasury now intends to crackdown and regulate the digital currency	1
2018-02-06	bitcoin dives another 15pc	1
2017-12-11	bitcoin futures rise as virtual currency hits exchange	1
2017-08-07	bitcoin has a weak link after all;  technology	1
2017-09-14	bitcoin is a fraud and i'll sack staff who sell it warns jp morgan chief	1
2018-02-17	bitcoin richlist freaks geeks and billionaires... these are the bitcoin investors who've made the most money from cryptocurrency boom;  forbes has provided an insight into who has made their wealth from the virtual currency for the first time ever	1
2018-02-14	bitcoin still the toast of sg	1
2017-05-23	bitcoin: bubble or money?	1
2018-01-13	bits and mortar	1
2018-03-08	blockchain reaction bitcoin crashes to half its value in just one year amid crackdown on wild west cryptocurrency market;  investors are growing increasingly cautious of the digital cash	0
2017-07-14	blockchain tech: the next big thing;  it's finding uses in transferring money paying artists proving identity and protecting health and academic records just for starters.;  conen ltony	0
2017-12-16	brief: u.s. to sell off seized bitcoin	1
2017-09-19	brief: uzbekistan not going to ditch bitcoin: stock exchange	0
2018-01-11	buffett's bitcoin bubble warning;  berkshire hathaway billionaire says crypto craze will 'come to a bad ending'	0
2017-12-04	buried treasure it worker accidentally threw away laptop that could now be worth £74million in bitcoin;  james howells was an early convert to the technology long before bitcoin dubbed 'digital gold' became all the rage its value soaring some 1400 per cent since the start of the year	1
2016-12-28	business	1
2017-07-02	buying bitcoin to fund retirement?;  make sure it fits plans	1
2017-01-03	back to work | calamatta cuschieri	1
2018-03-03	bank 'has no use' for cryptocurrencies	1
